price,managed_fba_stock_level,weekday,quarter,is_holiday,diff_price_comp_1,ratio_price_comp_1,diff_price_comp_2,ratio_price_comp_2,storage_loss,avg_unitsordered_7days,avg_price_7days,unitsordered
29.99,1118,5,2,0,0.76,1.025341781,29.99,2,-3.368421053,26.28571429,29.64714286,4
29.99,1086,6,2,0,0.76,1.025341781,29.99,2,8,23.28571429,29.64714286,8
29.89,1080,0,2,0,1.1,1.036801606,30.09,2.006691201,0.75,24,29.81857143,42
29.89,1057,1,2,0,1.1,1.036801606,30.09,2.006691201,0.547619048,27.57142857,29.81857143,51
29.79,1117,2,2,0,1.2,1.040281974,30.19,2.013427325,-1.176470588,26.85714286,29.81857143,33
29.69,1050,3,2,0,1.3,1.043785786,30.29,2.020208825,2.03030303,26.57142857,29.86142857,29
29.89,1012,4,2,0,1.1,1.036801606,30.09,2.006691201,1.310344828,25.57142857,29.87571429,12
29.99,993,5,2,0,1,1.033344448,29.99,2,1.583333333,25.57142857,29.87571429,4
29.99,983,6,2,0,1,1.033344448,29.99,2,2.5,28,29.87571429,25
29.89,975,0,2,0,1.1,1.036801606,30.09,2.006691201,0.32,26.85714286,29.87571429,34
29.79,952,1,2,0,1.2,1.040281974,30.19,2.013427325,0.676470588,26,29.86142857,45
29.89,914,2,2,0,1.1,1.036801606,30.09,2.006691201,0.844444444,25.28571429,29.87571429,28
29.79,885,3,2,0,1.2,1.040281974,30.19,2.013427325,1.035714286,28.42857143,29.89,51
29.69,839,4,3,0,1.3,1.043785786,30.29,2.020208825,0.901960784,31.14285714,29.86142857,31
29.99,807,5,3,0,1,1.033344448,29.99,2,1.032258065,31,29.86142857,3
29.99,775,6,3,0,1,1.033344448,29.99,2,10.66666667,27.57142857,29.86142857,1
29.89,757,0,3,0,1.1,1.036801606,30.09,2.006691201,18,24.42857143,29.86142857,12
29.59,735,1,3,0,1.4,1.047313282,30.39,2.027036161,1.833333333,25.42857143,29.83285714,52
29.69,735,2,3,0,1.3,1.043785786,30.29,2.020208825,0,28.71428571,29.80428571,51
29.89,704,3,3,0,1.1,1.036801606,30.09,2.006691201,0.607843137,29.14285714,29.81857143,54
29.89,657,4,3,0,1.1,1.036801606,30.09,2.006691201,0.87037037,33,29.84714286,58
29.79,615,5,3,0,1.2,1.040281974,30.19,2.013427325,0.724137931,33.28571429,29.81857143,5
29.79,567,6,3,0,1.2,1.040281974,30.19,2.013427325,9.6,37.85714286,29.79,33
29.89,960,0,3,0,1.1,1.036801606,30.09,2.006691201,-11.90909091,41.42857143,29.79,37
29.39,939,1,3,0,1.6,1.054440286,30.59,2.040830214,0.567567568,42.57142857,29.76142857,60
29.89,895,2,3,0,1.1,1.036801606,30.09,2.006691201,0.733333333,40.14285714,29.79,34
29.89,873,3,3,0,1.1,1.036801606,30.09,2.006691201,0.647058824,36.14285714,29.79,26
28.79,856,4,3,0,2.2,1.076415422,31.19,2.083362279,0.653846154,31.85714286,29.63285714,28
29.99,835,5,3,0,1,1.033344448,29.99,2,0.75,32,29.66142857,6
29.99,809,6,3,0,1,1.033344448,29.99,2,4.333333333,28.28571429,29.69,7
29.59,785,0,3,0,1.4,1.047313282,30.39,2.027036161,3.428571429,28.57142857,29.64714286,39
29.89,733,1,3,0,1.1,1.036801606,30.09,2.006691201,1.333333333,25.71428571,29.71857143,40
29.09,695,2,3,0,1.9,1.065314541,30.89,2.061876934,0.95,26.71428571,29.60428571,41
29.69,660,3,3,0,1.3,1.043785786,30.29,2.020208825,0.853658537,26.28571429,29.57571429,23
28.79,620,4,3,0,2.2,1.076415422,31.19,2.083362279,1.739130435,26.28571429,29.57571429,28
29.79,575,5,3,0,1.2,1.040281974,30.19,2.013427325,1.607142857,26.28571429,29.54714286,6
19.99,553,6,3,0,11,1.550275138,39.99,3.00050025,3.666666667,25.71428571,28.11857143,3
29.79,527,0,3,0,1.2,1.040281974,30.19,2.013427325,8.666666667,24.42857143,28.14714286,30
29.89,544,1,3,0,1.1,1.036801606,30.09,2.006691201,-0.566666667,27.28571429,28.14714286,60
29.59,496,2,3,0,1.4,1.047313282,30.39,2.027036161,0.8,24.85714286,28.21857143,24
28.79,527,3,3,0,2.2,1.076415422,31.19,2.083362279,-1.291666667,25.85714286,28.09,30
29.79,536,4,3,0,1.2,1.040281974,30.19,2.013427325,-0.3,26,28.23285714,29
29.89,512,5,3,0,1.1,1.036801606,30.09,2.006691201,0.827586207,26.28571429,28.24714286,8
29.99,483,6,3,0,1,1.033344448,29.99,2,3.625,26.42857143,29.67571429,4
29.79,439,0,3,0,1.2,1.040281974,30.19,2.013427325,11,26.14285714,29.67571429,28
29.69,1502,1,3,0,1.3,1.043785786,30.29,2.020208825,-37.96428571,22.42857143,29.64714286,34
29.99,1486,2,3,0,1,1.033344448,29.99,2,0.470588235,29.42857143,29.70428571,73
29.79,1456,3,3,0,1.2,1.040281974,30.19,2.013427325,0.410958904,29.42857143,29.84714286,30
29.39,1432,4,3,0,1.6,1.054440286,30.59,2.040830214,0.8,27.57142857,29.79,16
29.99,1392,5,3,0,1,1.033344448,29.99,2,2.5,26.85714286,29.80428571,3
29.99,1375,6,3,0,1,1.033344448,29.99,2,5.666666667,31.57142857,29.80428571,37
29.89,1702,0,3,0,1.1,1.036801606,11.5,1.384744062,-8.837837838,30.14285714,29.81857143,18
29.59,1652,1,3,0,1.4,1.047313282,11.8,1.398783373,2.777777778,29.85714286,29.80428571,32
29.89,1627,2,3,0,1.1,1.036801606,11.5,1.384744062,0.78125,21.71428571,29.79,16
29.89,1611,3,3,0,1.1,1.036801606,11.5,1.384744062,1,21,29.80428571,25
29.89,1581,4,3,0,1.1,1.036801606,11.5,1.384744062,1.2,21.42857143,29.87571429,19
29.79,1562,5,3,0,1.2,1.040281974,11.6,1.389392414,1,21.85714286,29.84714286,6
29.89,1553,6,3,0,1.1,1.036801606,11.5,1.384744062,1.5,17.42857143,29.83285714,6
29.89,1536,0,3,0,1.1,1.036801606,11.5,1.384744062,2.833333333,18.28571429,29.83285714,24
29.89,1519,1,3,0,1.1,1.036801606,11.5,1.384744062,0.708333333,17.85714286,29.87571429,29
29.89,1506,2,3,0,1.1,1.036801606,11.5,1.384744062,0.448275862,20.28571429,29.87571429,33
29.89,1479,3,3,0,1.1,1.036801606,11.5,1.384744062,0.818181818,20.57142857,29.87571429,27
29.89,1446,4,3,0,1.1,1.036801606,11.5,1.384744062,1.222222222,23.42857143,29.87571429,39
29.99,1313,5,3,0,1,1.033344448,11.4,1.380126709,3.41025641,22.85714286,29.90428571,2
29.99,1337,6,3,0,1,1.033344448,11.4,1.380126709,-12,25.42857143,29.91857143,24
28.49,1350,0,3,0,2.5,1.087750088,12.9,1.452790453,-0.541666667,26.14285714,29.71857143,29
29.79,1333,1,3,0,1.2,1.040281974,11.6,1.389392414,0.586206897,28,29.70428571,42
29.89,1348,2,3,0,1.1,1.036801606,30.09,2.006691201,-0.357142857,31.14285714,29.70428571,55
29.89,1338,3,3,0,1.1,1.036801606,30.09,2.006691201,0.181818182,31.14285714,29.70428571,27
29.79,1292,4,3,0,1.2,1.040281974,30.19,2.013427325,1.703703704,28.28571429,29.69,19
29.39,1295,5,3,0,1.6,1.054440286,30.59,2.040830214,-0.157894737,28.28571429,29.60428571,2
29.89,1271,6,3,0,1.1,1.036801606,30.09,2.006691201,12,26.42857143,29.59,11
29.89,1267,0,3,0,1.1,1.036801606,30.09,2.006691201,0.363636364,25.71428571,29.79,24
29.89,1247,1,3,0,1.1,1.036801606,11.5,1.384744062,0.833333333,23.71428571,29.80428571,28
29.59,1228,2,3,0,1.4,1.047313282,11.8,1.398783373,0.678571429,20,29.76142857,29
29.89,1202,3,3,0,1.1,1.036801606,11.5,1.384744062,0.896551724,22.14285714,29.76142857,42
29.69,1187,4,3,0,1.3,1.043785786,11.7,1.394072078,0.357142857,22.42857143,29.74714286,21
29.59,1151,5,3,0,1.4,1.047313282,11.8,1.398783373,1.714285714,22.57142857,29.77571429,3
29.89,1132,6,3,0,1.1,1.036801606,11.5,1.384744062,6.333333333,24.71428571,29.77571429,26
29.99,1122,0,3,0,1,1.033344448,11.4,1.380126709,0.384615385,23.85714286,29.79,18
29.49,1125,1,3,0,1.5,1.0508647,11.9,1.403526619,-0.166666667,25.85714286,29.73285714,42
29.79,1097,2,3,0,1.2,1.040281974,11.6,1.389392414,0.666666667,30,29.76142857,58
29.99,1076,3,3,0,1,1.033344448,11.4,1.380126709,0.362068966,26.71428571,29.77571429,19
27.89,1035,4,3,0,3.1,1.11115095,13.5,1.48404446,2.157894737,28.28571429,29.51857143,32
27.99,1035,5,3,0,3,1.107181136,13.4,1.478742408,0,29.28571429,29.29,10
27.99,1035,6,3,0,3,1.107181136,13.4,1.478742408,0,29.57142857,29.01857143,28
27.89,1035,0,3,0,3.1,1.11115095,13.5,1.48404446,0,33.14285714,28.71857143,43
27.79,1035,1,3,0,3.2,1.115149334,13.6,1.489384671,0,33.42857143,28.47571429,44
29.09,1035,2,3,0,1.9,1.065314541,12.3,1.422825713,0,32.28571429,28.37571429,50
29.79,1035,3,3,0,1.2,1.040281974,11.6,1.389392414,0,32.85714286,28.34714286,23
29.79,1035,4,3,0,1.2,1.040281974,11.6,1.389392414,0,30.85714286,28.61857143,18
29.99,1035,5,3,0,1,1.033344448,11.4,1.380126709,0,29.71428571,28.90428571,2
29.99,1035,6,3,0,1,1.033344448,11.4,1.380126709,0,30.42857143,29.19,33
29.69,1035,0,3,0,1.3,1.043785786,43.65,2.470191984,0,27.14285714,29.44714286,20
29.89,1035,1,3,0,1.1,1.036801606,43.45,2.453663433,0,27,29.74714286,43
29.89,1035,2,3,0,1.1,1.036801606,43.45,2.453663433,0,24.28571429,29.86142857,31
29.79,1035,3,3,0,1.2,1.040281974,36.58,2.227928835,0,25.28571429,29.86142857,30
24.49,914,4,3,0,6.5,1.265414455,41.88,2.710085749,4.033333333,30.57142857,29.10428571,55
29.99,777,5,3,0,1,1.033344448,36.38,2.213071024,2.490909091,31.14285714,29.10428571,6
29.99,2023,6,3,0,1,1.033344448,36.38,2.213071024,-207.6666667,30,29.10428571,25
29.89,2012,0,3,0,1.1,1.036801606,11.5,1.384744062,0.44,29.57142857,29.13285714,17
29.89,1962,1,3,0,1.1,1.036801606,11.5,1.384744062,2.941176471,28.57142857,29.13285714,36
29.59,1948,2,3,0,1.4,1.047313282,11.8,1.398783373,0.388888889,29.14285714,29.09,35
28.79,1924,3,3,0,2.2,1.076415422,12.6,1.437651962,0.685714286,29.14285714,28.94714286,30
29.89,1854,4,3,0,1.1,1.036801606,11.5,1.384744062,2.333333333,24.71428571,29.71857143,24
29.89,1819,5,4,1,1.1,1.036801606,11.5,1.384744062,1.458333333,28.71428571,29.70428571,34
29.99,1795,6,4,0,1,1.033344448,11.4,1.380126709,0.705882353,30.71428571,29.70428571,39
29.69,1766,0,4,0,1.3,1.043785786,30.19,2.016840687,0.743589744,36.85714286,29.67571429,60
29.89,1580,1,4,0,1.1,1.036801606,29.99,2.003345601,3.1,36.57142857,29.67571429,34
29.69,1680,2,4,0,1.3,1.043785786,30.19,2.016840687,-2.941176471,38.85714286,29.69,51
29.89,1639,3,4,0,1.1,1.036801606,29.99,2.003345601,0.803921569,41.57142857,29.84714286,49
29.69,1591,4,4,0,1.3,1.043785786,30.19,2.016840687,0.979591837,43.71428571,29.81857143,39
29.99,1547,5,4,0,1,1.033344448,29.89,1.996665555,1.128205128,40.57142857,29.83285714,12
29.99,1517,6,4,0,1,1.033344448,29.89,1.996665555,2.5,35.14285714,29.83285714,1
29.89,1500,0,4,0,1.1,1.036801606,29.99,2.003345601,17,30.71428571,29.86142857,29
29.79,1281,1,4,0,1.2,1.040281974,30.09,2.010070493,7.551724138,29.14285714,29.84714286,23
25.29,1240,2,4,0,5.7,1.225385528,16.1,1.636615263,1.782608696,26.57142857,29.21857143,33
29.89,1208,3,4,0,1.1,1.036801606,11.5,1.384744062,0.96969697,24.28571429,29.21857143,33
29.59,1195,4,4,0,1.4,1.047313282,11.8,1.398783373,0.393939394,23.14285714,29.20428571,31
29.99,1165,5,4,0,1,1.033344448,11.4,1.380126709,0.967741935,22.71428571,29.20428571,9
29.99,1137,6,4,0,1,1.033344448,11.4,1.380126709,3.111111111,27,29.20428571,31
29.19,1298,0,4,0,1.8,1.061664954,30.79,2.054813292,-5.193548387,28.42857143,29.10428571,39
29.79,1256,1,4,0,1.2,1.040281974,30.19,2.013427325,1.076923077,29.14285714,29.10428571,28
29.79,1213,2,4,0,1.2,1.040281974,30.19,2.013427325,1.535714286,29.85714286,29.74714286,38
29.59,1178,3,4,0,1.4,1.047313282,30.39,2.027036161,0.921052632,29.42857143,29.70428571,30
29.79,1145,4,4,0,1.2,1.040281974,30.19,2.013427325,1.1,29.28571429,29.73285714,30
29.99,1119,5,4,0,1,1.033344448,29.99,2,0.866666667,28.85714286,29.73285714,6
29.99,1091,6,4,0,1,1.033344448,29.99,2,4.666666667,25.28571429,29.73285714,6
29.79,1077,0,4,0,1.2,1.040281974,11.6,1.389392414,2.333333333,23.71428571,29.81857143,28
29.79,1054,1,4,0,1.2,1.040281974,11.6,1.389392414,0.821428571,23.14285714,29.81857143,24
29.89,1034,2,4,0,1.1,1.036801606,11.5,1.384744062,0.833333333,23.57142857,29.83285714,41
29.59,1015,3,4,0,1.4,1.047313282,11.8,1.398783373,0.463414634,25,29.83285714,40
29.79,1001,4,4,0,1.2,1.040281974,11.6,1.389392414,0.35,24.85714286,29.83285714,29
29.99,1847,5,4,0,1,1.033344448,11.4,1.380126709,-29.17241379,28,29.83285714,28
29.99,1800,6,4,0,1,1.033344448,11.4,1.380126709,1.678571429,27.71428571,29.83285714,4
28.99,1779,0,4,0,2,1.068989307,12.4,1.427733701,5.25,28.42857143,29.71857143,33
29.59,1731,1,4,0,1.4,1.047313282,11.8,1.398783373,1.454545455,31.85714286,29.69,48
29.79,1728,2,4,0,1.2,1.040281974,11.6,1.389392414,0.0625,32.28571429,29.67571429,44
29.69,1692,3,4,0,1.3,1.043785786,11.7,1.394072078,0.818181818,32.42857143,29.69,41
29.89,1692,4,4,0,1.1,1.036801606,11.5,1.384744062,0,36,29.70428571,54
29.99,1692,5,4,0,1,1.033344448,11.4,1.380126709,0,33.28571429,29.70428571,9
29.79,1577,6,4,0,1.2,1.040281974,11.6,1.389392414,12.77777778,34.28571429,29.67571429,11
29.89,1544,0,4,0,1.1,1.036801606,11.5,1.384744062,3,33.71428571,29.80428571,29
29.49,1544,1,4,0,1.5,1.0508647,11.9,1.403526619,0,37.42857143,29.79,74
29.79,1509,2,4,0,1.2,1.040281974,11.6,1.389392414,0.472972973,35.14285714,29.79,28
29.89,1480,3,4,0,1.1,1.036801606,11.5,1.384744062,1.035714286,33.28571429,29.81857143,28
29.89,1427,4,4,0,1.1,1.036801606,11.5,1.384744062,1.892857143,29.57142857,29.81857143,28
29.99,1427,5,4,0,1,1.033344448,11.4,1.380126709,0,32.57142857,29.81857143,30
29.99,1356,6,4,0,1,1.033344448,11.4,1.380126709,2.366666667,31.57142857,29.84714286,4
29.89,1348,0,4,0,1.1,1.036801606,11.5,1.384744062,2,32.42857143,29.84714286,35
29.89,1313,1,4,0,1.1,1.036801606,11.5,1.384744062,1,26.57142857,29.90428571,33
29.89,1313,2,4,0,1.1,1.036801606,11.5,1.384744062,0,26.57142857,29.91857143,28
29.79,1313,3,4,0,1.2,1.040281974,11.6,1.389392414,0,27,29.90428571,31
29.79,1404,4,4,0,1.2,1.040281974,11.6,1.389392414,-2.935483871,27,29.89,28
29.89,1389,5,4,0,1.1,1.036801606,11.5,1.384744062,0.535714286,24,29.87571429,9
29.99,1593,6,4,0,1,1.033344448,11.4,1.380126709,-22.66666667,23.85714286,29.87571429,3
29.79,1582,0,4,0,1.2,1.040281974,11.6,1.389392414,3.666666667,23,29.86142857,29
