storage_loss,avg_unitsordered_7days,avg_price_7days,adspend
3,29.85714286,29.34714286,33
0.20754717,26.85714286,29.33285714,25
0.523809524,27.85714286,29.34714286,71
0.391304348,31,29.81857143,51
-2.666666667,30.57142857,29.80428571,38
1.222222222,30.57142857,29.80428571,3
34,33.42857143,29.79,4
1,30.28571429,29.84714286,28
0.516129032,33,29.84714286,64
0.175,34.28571429,29.87571429,43
0.472727273,31.71428571,29.84714286,74
0.69047619,34.57142857,29.84714286,34
0.978723404,38,29.84714286,14
1.692307692,35.42857143,29.84714286,27
4.428571429,39,29.86142857,78
0.446428571,38.28571429,29.86142857,88
1.028571429,37.57142857,29.41857143,58
0.62,36.28571429,29.31857143,44
1.181818182,32.28571429,29.30428571,33
2.210526316,32,29.30428571,14
1.75,32.85714286,29.30428571,3
2.230769231,35.42857143,29.16142857,43
0.22972973,38.14285714,29.13285714,52
0.5,37.14285714,29.56142857,71
1.093023256,40.42857143,29.64714286,40
0.839285714,41.14285714,29.66142857,38
2.416666667,41.28571429,29.66142857,6
-5.36,40,29.67571429,4
3.5,32.71428571,29.83285714,35
0,30.42857143,29.86142857,60
1.263157895,29.57142857,29.86142857,38
0.513513514,25.42857143,29.86142857,62
0.740740741,25.85714286,29.86142857,34
1.666666667,23,29.86142857,0
5.8,26.14285714,29.86142857,5
1.5,23.28571429,29.87571429,2
-163.6666667,23.28571429,29.76142857,23
0.421052632,25.28571429,29.50428571,73
0.196078431,31.28571429,29.44714286,62
0.231884058,35.85714286,29.44714286,56
0.762711864,39.57142857,29.44714286,0
1.870967742,39.57142857,29.44714286,5
0.769230769,44.42857143,29.43285714,35
1.702702703,44,29.53285714,35
1.285714286,45.57142857,29.80428571,86
0.580645161,39.85714286,29.89,18
1.655172414,34.42857143,29.90428571,34
2.095238095,30.57142857,29.86142857,3
4.75,31,29.86142857,2
0.448275862,31,29.69,36
1,29.71428571,29.70428571,42
0.653846154,26.28571429,29.69,48
0.868421053,26.57142857,29.63285714,33
1,26.28571429,29.60428571,40
-3.368421053,26.28571429,29.64714286,0
8,23.28571429,29.64714286,0
0.75,24,29.81857143,48
0.547619048,27.57142857,29.81857143,48
-1.176470588,26.85714286,29.81857143,62
2.03030303,26.57142857,29.86142857,60
1.310344828,25.57142857,29.87571429,21
1.583333333,25.57142857,29.87571429,6
2.5,28,29.87571429,0
0.32,26.85714286,29.87571429,49
0.676470588,26,29.86142857,60
0.844444444,25.28571429,29.87571429,67
1.035714286,28.42857143,29.89,57
0.901960784,31.14285714,29.86142857,32
1.032258065,31,29.86142857,2
10.66666667,27.57142857,29.86142857,0
18,24.42857143,29.86142857,4
1.833333333,25.42857143,29.83285714,82
0,28.71428571,29.80428571,72
0.607843137,29.14285714,29.81857143,74
0.87037037,33,29.84714286,35
0.724137931,33.28571429,29.81857143,2
9.6,37.85714286,29.79,0
-11.90909091,41.42857143,29.79,55
0.567567568,42.57142857,29.76142857,62
0.733333333,40.14285714,29.79,63
0.647058824,36.14285714,29.79,79
0.653846154,31.85714286,29.63285714,43
0.75,32,29.66142857,2
4.333333333,28.28571429,29.69,1
3.428571429,28.57142857,29.64714286,35
1.333333333,25.71428571,29.71857143,40
0.95,26.71428571,29.60428571,51
0.853658537,26.28571429,29.57571429,57
1.739130435,26.28571429,29.57571429,29
1.607142857,26.28571429,29.54714286,2
3.666666667,25.71428571,28.11857143,1
8.666666667,24.42857143,28.14714286,68
-0.566666667,27.28571429,28.14714286,62
0.8,24.85714286,28.21857143,57
-1.291666667,25.85714286,28.09,57
-0.3,26,28.23285714,53
0.827586207,26.28571429,28.24714286,1
3.625,26.42857143,29.67571429,2
11,26.14285714,29.67571429,53
-37.96428571,22.42857143,29.64714286,46
0.470588235,29.42857143,29.70428571,56
0.410958904,29.42857143,29.84714286,61
0.8,27.57142857,29.79,27
2.5,26.85714286,29.80428571,1
5.666666667,31.57142857,29.80428571,1
-8.837837838,30.14285714,29.81857143,37
2.777777778,29.85714286,29.80428571,25
0.78125,21.71428571,29.79,55
1,21,29.80428571,52
1.2,21.42857143,29.87571429,36
1,21.85714286,29.84714286,4
1.5,17.42857143,29.83285714,1
2.833333333,18.28571429,29.83285714,50
0.708333333,17.85714286,29.87571429,58
0.448275862,20.28571429,29.87571429,76
0.818181818,20.57142857,29.87571429,52
1.222222222,23.42857143,29.87571429,51
3.41025641,22.85714286,29.90428571,2
-12,25.42857143,29.91857143,2
-0.541666667,26.14285714,29.71857143,48
0.586206897,28,29.70428571,53
-0.357142857,31.14285714,29.70428571,65
0.181818182,31.14285714,29.70428571,36
1.703703704,28.28571429,29.69,34
-0.157894737,28.28571429,29.60428571,0
12,26.42857143,29.59,0
0.363636364,25.71428571,29.79,45
0.833333333,23.71428571,29.80428571,70
0.678571429,20,29.76142857,58
0.896551724,22.14285714,29.76142857,49
0.357142857,22.42857143,29.74714286,40
1.714285714,22.57142857,29.77571429,3
6.333333333,24.71428571,29.77571429,0
0.384615385,23.85714286,29.79,14
-0.166666667,25.85714286,29.73285714,37
0.666666667,30,29.76142857,83
0.362068966,26.71428571,29.77571429,66
2.157894737,28.28571429,29.51857143,41
0,29.28571429,29.29,4
0,29.57142857,29.01857143,1
0,33.14285714,28.71857143,64
0,33.42857143,28.47571429,74
0,32.28571429,28.37571429,69
0,32.85714286,28.34714286,23
0,30.85714286,28.61857143,43
0,29.71428571,28.90428571,0
0,30.42857143,29.19,1
0,27.14285714,29.44714286,38
0,27,29.74714286,51
0,24.28571429,29.86142857,76
0,25.28571429,29.86142857,61
4.033333333,30.57142857,29.10428571,32
2.490909091,31.14285714,29.10428571,2
-207.6666667,30,29.10428571,3
0.44,29.57142857,29.13285714,44
2.941176471,28.57142857,29.13285714,58
0.388888889,29.14285714,29.09,80
0.685714286,29.14285714,28.94714286,78
2.333333333,24.71428571,29.71857143,39
1.458333333,28.71428571,29.70428571,14
0.705882353,30.71428571,29.70428571,3
0.743589744,36.85714286,29.67571429,45
3.1,36.57142857,29.67571429,75
-2.941176471,38.85714286,29.69,102
0.803921569,41.57142857,29.84714286,45
0.979591837,43.71428571,29.81857143,39
1.128205128,40.57142857,29.83285714,2
2.5,35.14285714,29.83285714,5
17,30.71428571,29.86142857,50
7.551724138,29.14285714,29.84714286,65
1.782608696,26.57142857,29.21857143,97
0.96969697,24.28571429,29.21857143,47
0.393939394,23.14285714,29.20428571,33
0.967741935,22.71428571,29.20428571,3
3.111111111,27,29.20428571,9
-5.193548387,28.42857143,29.10428571,53
1.076923077,29.14285714,29.10428571,84
1.535714286,29.85714286,29.74714286,35
0.921052632,29.42857143,29.70428571,42
1.1,29.28571429,29.73285714,35
0.866666667,28.85714286,29.73285714,1
4.666666667,25.28571429,29.73285714,3
2.333333333,23.71428571,29.81857143,34
0.821428571,23.14285714,29.81857143,69
0.833333333,23.57142857,29.83285714,48
0.463414634,25,29.83285714,52
0.35,24.85714286,29.83285714,54
-29.17241379,28,29.83285714,0
1.678571429,27.71428571,29.83285714,0
5.25,28.42857143,29.71857143,65
1.454545455,31.85714286,29.69,56
0.0625,32.28571429,29.67571429,72
0.818181818,32.42857143,29.69,51
0,36,29.70428571,27
0,33.28571429,29.70428571,4
12.77777778,34.28571429,29.67571429,0
3,33.71428571,29.80428571,23
0,37.42857143,29.79,26
0.472972973,35.14285714,29.79,48
1.035714286,33.28571429,29.81857143,57
1.892857143,29.57142857,29.81857143,19
0,32.57142857,29.81857143,2
2.366666667,31.57142857,29.84714286,3
2,32.42857143,29.84714286,31
1,26.57142857,29.90428571,47
0,26.57142857,29.91857143,37
0,27,29.90428571,34
-2.935483871,27,29.89,21
0.535714286,24,29.87571429,1
-22.66666667,23.85714286,29.87571429,1
3.666666667,23,29.86142857,45
0,22,29.86142857,37
0,18.71428571,29.01857143,28
17,15.85714286,29.04714286,0
1,13.14285714,29.04714286,3
0,13,29.06142857,0
0,16.71428571,29.06142857,2
0,17.85714286,28.90428571,42
0,20.42857143,28.87571429,75
1.931818182,24,29.71857143,56
0.466666667,30.57142857,29.67571429,44
0.561403509,33.42857143,29.53285714,32
0,34,29.51857143,4
-0.583333333,30.42857143,29.51857143,3
4,35.14285714,29.60428571,56
0.257142857,33.57142857,29.50428571,40
0.818181818,34.71428571,29.49,74
0,29.85714286,29.50428571,14
0,30,29.60428571,30
0,29.57142857,29.61857143,5
0,33.57142857,29.61857143,5
0,28.28571429,29.69,50
0,26.14285714,29.56142857,47
-0.166666667,26.14285714,29.56142857,40
-0.552631579,27.57142857,29.57571429,35
-0.96969697,28,29.29,19
0.939393939,28.42857143,29.27571429,7
0.833333333,24.71428571,29.27571429,0
-10.16666667,23.85714286,29.26142857,17
1.185185185,25.71428571,29.50428571,30
0,22.85714286,29.50428571,25
2.055555556,20,29.51857143,34
-2.076923077,17,29.84714286,3
1.166666667,15.71428571,29.86142857,0
1.666666667,18.28571429,29.86142857,0
0.916666667,16.71428571,29.89,8
-0.125,14.71428571,29.91857143,34
0.411764706,16.71428571,29.93285714,37
0.46875,18.57142857,29.91857143,45
0.538461538,19.57142857,29.93285714,16
0.421052632,22.42857143,29.93285714,8
1.086956522,19.42857143,29.90428571,3
2,20.42857143,29.90428571,33
0,24.28571429,29.84714286,60
0.568181818,27.14285714,29.84714286,75
0.826923077,27.85714286,29.70428571,49
-18.29032258,29.28571429,29.66142857,31
2.896551724,29.71428571,29.66142857,0
0.538461538,36.14285714,29.67571429,41
1.145833333,35.85714286,29.66142857,39
2.523809524,33.28571429,29.66142857,40
0.884615385,31.14285714,29.66142857,50
0.810810811,31.14285714,29.66142857,40
0.774193548,27.85714286,29.69,2
1.333333333,24.71428571,29.69,0
2.75,22.28571429,29.69,14
0.64516129,23.85714286,29.67571429,61
0.59375,23.71428571,29.71857143,35
0.56,23.42857143,29.59,59
0.8,20.71428571,29.37571429,33
5.583333333,23.57142857,29.40428571,7
0.615384615,23.85714286,29.39,3
-27.5,22.71428571,29.39,51
1.434782609,22.85714286,29.41857143,60
0.818181818,21.71428571,29.40428571,75
1.588235294,21.28571429,29.33285714,43
-16.15625,23.57142857,29.69,32
0.714285714,20.71428571,29.67571429,10
-0.5,20.14285714,29.69,0
9,20.42857143,29.69,39
0.64,18.71428571,29.69,44
0.761904762,22,29.47571429,54
0.35,23.14285714,29.44714286,63
0.45,24.85714286,29.21857143,39
0.875,29.71428571,28.99,1
0.375,35.14285714,28.74714286,3
0.55,37.28571429,28.51857143,24
0.65,36.57142857,28.50428571,21
2.75,33.71428571,28.71857143,44
0.85,30.85714286,28.94714286,32
2,28.28571429,29.11857143,21
-0.090909091,23,29.33285714,7
-56,18.14285714,29.56142857,1
2,16.28571429,29.74714286,43
0.333333333,17.85714286,29.71857143,41
0.666666667,18.28571429,29.71857143,53
0,19.28571429,29.70428571,61
0,18.14285714,29.76142857,28
0,18.14285714,29.73285714,6
-91.66666667,21.14285714,29.74714286,0
0,19.71428571,29.79,18
0,19,29.81857143,28
0,20.14285714,29.69,23
0,18.57142857,29.69,7
0,19,29.69,5
8.411764706,19.28571429,29.73285714,6
0.4,15.85714286,29.73285714,5
4.333333333,16.28571429,29.73285714,21
0.65,15.71428571,29.73285714,38
1.333333333,14.57142857,29.66142857,49
0.608695652,18.42857143,29.40428571,24
0.441860465,22.14285714,29.37571429,32
0.88372093,22.42857143,29.37571429,16
1.714285714,27.28571429,29.36142857,7
0.810810811,26.57142857,29.07571429,16
2.133333333,29,29.06142857,29
0.8,28.71428571,29.21857143,47
1.142857143,24.85714286,29.47571429,40
1.0625,20.71428571,29.47571429,25
1.071428571,21.14285714,29.49,5
2,17.28571429,29.50428571,6
2.5,19.71428571,29.79,18
0.25,17.28571429,29.80428571,29
1.333333333,17.57142857,29.84714286,16
0.608695652,18.14285714,29.87571429,28
1.5,19.85714286,29.90428571,12
0.423076923,22.14285714,29.90428571,3
0.461538462,21.57142857,29.90428571,0
3.833333333,20.14285714,29.89,14
0.5,20.71428571,29.90428571,35
0.909090909,20.57142857,29.91857143,24
1,20.42857143,29.90428571,24
1.315789474,20.28571429,29.90428571,32
0.44,17.42857143,29.89,11
1.666666667,17.28571429,29.86142857,1
2.2,20,29.87571429,7
0.463414634,19,29.87571429,33
3.2,19.42857143,29.87571429,50
0.88,20.71428571,29.81857143,35
0.928571429,19.28571429,29.81857143,28
1.333333333,19.57142857,29.67571429,8
1,23,29.70428571,12
1.206896552,23.14285714,29.69,28
0.452380952,26.57142857,29.57571429,43
-9.205128205,26.14285714,29.56142857,43
1.409090909,29,29.61857143,53
0.25,29.57142857,29.60428571,36
-8.263157895,29,29.76142857,9
2.5,26.14285714,29.76142857,19
-53.22222222,27.42857143,29.77571429,23
0.764705882,25.42857143,29.89,59
1.6,25.71428571,29.90428571,44
0.791666667,22.42857143,29.90428571,34
0.72,22,29.89,18
1.0625,22.85714286,29.87571429,3
2.4,25.71428571,29.87571429,9
-23.93103448,22.57142857,29.86142857,30
0.482758621,21.71428571,29.86142857,20
1.210526316,22.42857143,29.79,24
