comp_1_price,comp_2_price,managed_fba_stock_level,weekday,quarter,is_holiday,diff_price_comp_1,ratio_price_comp_1,diff_price_comp_2,ratio_price_comp_2,previous_stock,previous_unitsordered,storage_loss,avg_unitsordered_7days,avg_price_7days,adspend
30.75,59.98,1085,3,2,0,1.36,1.046274243,30.59,2.040830214,1118,38,0.868421053,26.57142857,29.63285714,33
30.75,59.98,1054,4,2,0,0.96,1.032225579,30.19,2.013427325,1085,31,1,26.28571429,29.60428571,40
30.75,59.98,1118,5,2,0,0.76,1.025341781,29.99,2,1054,19,-3.368421053,26.28571429,29.64714286,0
30.75,59.98,1086,6,2,0,0.76,1.025341781,29.99,2,1118,4,8,23.28571429,29.64714286,0
30.99,59.98,1080,0,2,0,1.1,1.036801606,30.09,2.006691201,1086,8,0.75,24,29.81857143,48
30.99,59.98,1057,1,2,0,1.1,1.036801606,30.09,2.006691201,1080,42,0.547619048,27.57142857,29.81857143,48
30.99,59.98,1117,2,2,0,1.2,1.040281974,30.19,2.013427325,1057,51,-1.176470588,26.85714286,29.81857143,62
30.99,59.98,1050,3,2,0,1.3,1.043785786,30.29,2.020208825,1117,33,2.03030303,26.57142857,29.86142857,60
30.99,59.98,1012,4,2,0,1.1,1.036801606,30.09,2.006691201,1050,29,1.310344828,25.57142857,29.87571429,21
30.99,59.98,993,5,2,0,1,1.033344448,29.99,2,1012,12,1.583333333,25.57142857,29.87571429,6
30.99,59.98,983,6,2,0,1,1.033344448,29.99,2,993,4,2.5,28,29.87571429,0
30.99,59.98,975,0,2,0,1.1,1.036801606,30.09,2.006691201,983,25,0.32,26.85714286,29.87571429,49
30.99,59.98,952,1,2,0,1.2,1.040281974,30.19,2.013427325,975,34,0.676470588,26,29.86142857,60
30.99,59.98,914,2,2,0,1.1,1.036801606,30.09,2.006691201,952,45,0.844444444,25.28571429,29.87571429,67
30.99,59.98,885,3,2,0,1.2,1.040281974,30.19,2.013427325,914,28,1.035714286,28.42857143,29.89,57
30.99,59.98,839,4,3,0,1.3,1.043785786,30.29,2.020208825,885,51,0.901960784,31.14285714,29.86142857,32
30.99,59.98,807,5,3,0,1,1.033344448,29.99,2,839,31,1.032258065,31,29.86142857,2
30.99,59.98,775,6,3,0,1,1.033344448,29.99,2,807,3,10.66666667,27.57142857,29.86142857,0
30.99,59.98,757,0,3,0,1.1,1.036801606,30.09,2.006691201,775,1,18,24.42857143,29.86142857,4
30.99,59.98,735,1,3,0,1.4,1.047313282,30.39,2.027036161,757,12,1.833333333,25.42857143,29.83285714,82
30.99,59.98,735,2,3,0,1.3,1.043785786,30.29,2.020208825,735,52,0,28.71428571,29.80428571,72
30.99,59.98,704,3,3,0,1.1,1.036801606,30.09,2.006691201,735,51,0.607843137,29.14285714,29.81857143,74
30.99,59.98,657,4,3,0,1.1,1.036801606,30.09,2.006691201,704,54,0.87037037,33,29.84714286,35
30.99,59.98,615,5,3,0,1.2,1.040281974,30.19,2.013427325,657,58,0.724137931,33.28571429,29.81857143,2
30.99,59.98,567,6,3,0,1.2,1.040281974,30.19,2.013427325,615,5,9.6,37.85714286,29.79,0
30.99,59.98,960,0,3,0,1.1,1.036801606,30.09,2.006691201,567,33,-11.90909091,41.42857143,29.79,55
30.99,59.98,939,1,3,0,1.6,1.054440286,30.59,2.040830214,960,37,0.567567568,42.57142857,29.76142857,62
30.99,59.98,895,2,3,0,1.1,1.036801606,30.09,2.006691201,939,60,0.733333333,40.14285714,29.79,63
30.99,59.98,873,3,3,0,1.1,1.036801606,30.09,2.006691201,895,34,0.647058824,36.14285714,29.79,79
30.99,59.98,856,4,3,0,2.2,1.076415422,31.19,2.083362279,873,26,0.653846154,31.85714286,29.63285714,43
30.99,59.98,835,5,3,0,1,1.033344448,29.99,2,856,28,0.75,32,29.66142857,2
30.99,59.98,809,6,3,0,1,1.033344448,29.99,2,835,6,4.333333333,28.28571429,29.69,1
30.99,59.98,785,0,3,0,1.4,1.047313282,30.39,2.027036161,809,7,3.428571429,28.57142857,29.64714286,35
30.99,59.98,733,1,3,0,1.1,1.036801606,30.09,2.006691201,785,39,1.333333333,25.71428571,29.71857143,40
30.99,59.98,695,2,3,0,1.9,1.065314541,30.89,2.061876934,733,40,0.95,26.71428571,29.60428571,51
30.99,59.98,660,3,3,0,1.3,1.043785786,30.29,2.020208825,695,41,0.853658537,26.28571429,29.57571429,57
30.99,59.98,620,4,3,0,2.2,1.076415422,31.19,2.083362279,660,23,1.739130435,26.28571429,29.57571429,29
30.99,59.98,575,5,3,0,1.2,1.040281974,30.19,2.013427325,620,28,1.607142857,26.28571429,29.54714286,2
30.99,59.98,553,6,3,0,11,1.550275138,39.99,3.00050025,575,6,3.666666667,25.71428571,28.11857143,1
30.99,59.98,527,0,3,0,1.2,1.040281974,30.19,2.013427325,553,3,8.666666667,24.42857143,28.14714286,68
30.99,59.98,544,1,3,0,1.1,1.036801606,30.09,2.006691201,527,30,-0.566666667,27.28571429,28.14714286,62
30.99,59.98,496,2,3,0,1.4,1.047313282,30.39,2.027036161,544,60,0.8,24.85714286,28.21857143,57
30.99,59.98,527,3,3,0,2.2,1.076415422,31.19,2.083362279,496,24,-1.291666667,25.85714286,28.09,57
30.99,59.98,536,4,3,0,1.2,1.040281974,30.19,2.013427325,527,30,-0.3,26,28.23285714,53
30.99,59.98,512,5,3,0,1.1,1.036801606,30.09,2.006691201,536,29,0.827586207,26.28571429,28.24714286,1
30.99,59.98,483,6,3,0,1,1.033344448,29.99,2,512,8,3.625,26.42857143,29.67571429,2
30.99,59.98,439,0,3,0,1.2,1.040281974,30.19,2.013427325,483,4,11,26.14285714,29.67571429,53
30.99,59.98,1502,1,3,0,1.3,1.043785786,30.29,2.020208825,439,28,-37.96428571,22.42857143,29.64714286,46
30.99,59.98,1486,2,3,0,1,1.033344448,29.99,2,1502,34,0.470588235,29.42857143,29.70428571,56
30.99,59.98,1456,3,3,0,1.2,1.040281974,30.19,2.013427325,1486,73,0.410958904,29.42857143,29.84714286,61
30.99,59.98,1432,4,3,0,1.6,1.054440286,30.59,2.040830214,1456,30,0.8,27.57142857,29.79,27
30.99,59.98,1392,5,3,0,1,1.033344448,29.99,2,1432,16,2.5,26.85714286,29.80428571,1
30.99,59.98,1375,6,3,0,1,1.033344448,29.99,2,1392,3,5.666666667,31.57142857,29.80428571,1
30.99,41.39,1702,0,3,0,1.1,1.036801606,11.5,1.384744062,1375,37,-8.837837838,30.14285714,29.81857143,37
30.99,41.39,1652,1,3,0,1.4,1.047313282,11.8,1.398783373,1702,18,2.777777778,29.85714286,29.80428571,25
30.99,41.39,1627,2,3,0,1.1,1.036801606,11.5,1.384744062,1652,32,0.78125,21.71428571,29.79,55
30.99,41.39,1611,3,3,0,1.1,1.036801606,11.5,1.384744062,1627,16,1,21,29.80428571,52
30.99,41.39,1581,4,3,0,1.1,1.036801606,11.5,1.384744062,1611,25,1.2,21.42857143,29.87571429,36
30.99,41.39,1562,5,3,0,1.2,1.040281974,11.6,1.389392414,1581,19,1,21.85714286,29.84714286,4
30.99,41.39,1553,6,3,0,1.1,1.036801606,11.5,1.384744062,1562,6,1.5,17.42857143,29.83285714,1
30.99,41.39,1536,0,3,0,1.1,1.036801606,11.5,1.384744062,1553,6,2.833333333,18.28571429,29.83285714,50
30.99,41.39,1519,1,3,0,1.1,1.036801606,11.5,1.384744062,1536,24,0.708333333,17.85714286,29.87571429,58
30.99,41.39,1506,2,3,0,1.1,1.036801606,11.5,1.384744062,1519,29,0.448275862,20.28571429,29.87571429,76
30.99,41.39,1479,3,3,0,1.1,1.036801606,11.5,1.384744062,1506,33,0.818181818,20.57142857,29.87571429,52
30.99,41.39,1446,4,3,0,1.1,1.036801606,11.5,1.384744062,1479,27,1.222222222,23.42857143,29.87571429,51
30.99,41.39,1313,5,3,0,1,1.033344448,11.4,1.380126709,1446,39,3.41025641,22.85714286,29.90428571,2
30.99,41.39,1337,6,3,0,1,1.033344448,11.4,1.380126709,1313,2,-12,25.42857143,29.91857143,2
30.99,41.39,1350,0,3,0,2.5,1.087750088,12.9,1.452790453,1337,24,-0.541666667,26.14285714,29.71857143,48
30.99,41.39,1333,1,3,0,1.2,1.040281974,11.6,1.389392414,1350,29,0.586206897,28,29.70428571,53
30.99,59.98,1348,2,3,0,1.1,1.036801606,30.09,2.006691201,1333,42,-0.357142857,31.14285714,29.70428571,65
30.99,59.98,1338,3,3,0,1.1,1.036801606,30.09,2.006691201,1348,55,0.181818182,31.14285714,29.70428571,36
30.99,59.98,1292,4,3,0,1.2,1.040281974,30.19,2.013427325,1338,27,1.703703704,28.28571429,29.69,34
30.99,59.98,1295,5,3,0,1.6,1.054440286,30.59,2.040830214,1292,19,-0.157894737,28.28571429,29.60428571,0
30.99,59.98,1271,6,3,0,1.1,1.036801606,30.09,2.006691201,1295,2,12,26.42857143,29.59,0
30.99,59.98,1267,0,3,0,1.1,1.036801606,30.09,2.006691201,1271,11,0.363636364,25.71428571,29.79,45
30.99,41.39,1247,1,3,0,1.1,1.036801606,11.5,1.384744062,1267,24,0.833333333,23.71428571,29.80428571,70
30.99,41.39,1228,2,3,0,1.4,1.047313282,11.8,1.398783373,1247,28,0.678571429,20,29.76142857,58
30.99,41.39,1202,3,3,0,1.1,1.036801606,11.5,1.384744062,1228,29,0.896551724,22.14285714,29.76142857,49
30.99,41.39,1187,4,3,0,1.3,1.043785786,11.7,1.394072078,1202,42,0.357142857,22.42857143,29.74714286,40
30.99,41.39,1151,5,3,0,1.4,1.047313282,11.8,1.398783373,1187,21,1.714285714,22.57142857,29.77571429,3
30.99,41.39,1132,6,3,0,1.1,1.036801606,11.5,1.384744062,1151,3,6.333333333,24.71428571,29.77571429,0
30.99,41.39,1122,0,3,0,1,1.033344448,11.4,1.380126709,1132,26,0.384615385,23.85714286,29.79,14
30.99,41.39,1125,1,3,0,1.5,1.0508647,11.9,1.403526619,1122,18,-0.166666667,25.85714286,29.73285714,37
30.99,41.39,1097,2,3,0,1.2,1.040281974,11.6,1.389392414,1125,42,0.666666667,30,29.76142857,83
30.99,41.39,1076,3,3,0,1,1.033344448,11.4,1.380126709,1097,58,0.362068966,26.71428571,29.77571429,66
30.99,41.39,1035,4,3,0,3.1,1.11115095,13.5,1.48404446,1076,19,2.157894737,28.28571429,29.51857143,41
30.99,41.39,1035,5,3,0,3,1.107181136,13.4,1.478742408,1035,32,0,29.28571429,29.29,4
30.99,41.39,1035,6,3,0,3,1.107181136,13.4,1.478742408,1035,10,0,29.57142857,29.01857143,1
30.99,41.39,1035,0,3,0,3.1,1.11115095,13.5,1.48404446,1035,28,0,33.14285714,28.71857143,64
30.99,41.39,1035,1,3,0,3.2,1.115149334,13.6,1.489384671,1035,43,0,33.42857143,28.47571429,74
30.99,41.39,1035,2,3,0,1.9,1.065314541,12.3,1.422825713,1035,44,0,32.28571429,28.37571429,69
30.99,41.39,1035,3,3,0,1.2,1.040281974,11.6,1.389392414,1035,50,0,32.85714286,28.34714286,23
30.99,41.39,1035,4,3,0,1.2,1.040281974,11.6,1.389392414,1035,23,0,30.85714286,28.61857143,43
30.99,41.39,1035,5,3,0,1,1.033344448,11.4,1.380126709,1035,18,0,29.71428571,28.90428571,0
30.99,41.39,1035,6,3,0,1,1.033344448,11.4,1.380126709,1035,2,0,30.42857143,29.19,1
30.99,73.34,1035,0,3,0,1.3,1.043785786,43.65,2.470191984,1035,33,0,27.14285714,29.44714286,38
30.99,73.34,1035,1,3,0,1.1,1.036801606,43.45,2.453663433,1035,20,0,27,29.74714286,51
30.99,73.34,1035,2,3,0,1.1,1.036801606,43.45,2.453663433,1035,43,0,24.28571429,29.86142857,76
30.99,66.37,1035,3,3,0,1.2,1.040281974,36.58,2.227928835,1035,31,0,25.28571429,29.86142857,61
30.99,66.37,914,4,3,0,6.5,1.265414455,41.88,2.710085749,1035,30,4.033333333,30.57142857,29.10428571,32
30.99,66.37,777,5,3,0,1,1.033344448,36.38,2.213071024,914,55,2.490909091,31.14285714,29.10428571,2
30.99,66.37,2023,6,3,0,1,1.033344448,36.38,2.213071024,777,6,-207.6666667,30,29.10428571,3
30.99,41.39,2012,0,3,0,1.1,1.036801606,11.5,1.384744062,2023,25,0.44,29.57142857,29.13285714,44
30.99,41.39,1962,1,3,0,1.1,1.036801606,11.5,1.384744062,2012,17,2.941176471,28.57142857,29.13285714,58
30.99,41.39,1948,2,3,0,1.4,1.047313282,11.8,1.398783373,1962,36,0.388888889,29.14285714,29.09,80
30.99,41.39,1924,3,3,0,2.2,1.076415422,12.6,1.437651962,1948,35,0.685714286,29.14285714,28.94714286,78
30.99,41.39,1854,4,3,0,1.1,1.036801606,11.5,1.384744062,1924,30,2.333333333,24.71428571,29.71857143,39
30.99,41.39,1819,5,4,1,1.1,1.036801606,11.5,1.384744062,1854,24,1.458333333,28.71428571,29.70428571,14
30.99,41.39,1795,6,4,0,1,1.033344448,11.4,1.380126709,1819,34,0.705882353,30.71428571,29.70428571,3
30.99,59.88,1766,0,4,0,1.3,1.043785786,30.19,2.016840687,1795,39,0.743589744,36.85714286,29.67571429,45
30.99,59.88,1580,1,4,0,1.1,1.036801606,29.99,2.003345601,1766,60,3.1,36.57142857,29.67571429,75
30.99,59.88,1680,2,4,0,1.3,1.043785786,30.19,2.016840687,1580,34,-2.941176471,38.85714286,29.69,102
30.99,59.88,1639,3,4,0,1.1,1.036801606,29.99,2.003345601,1680,51,0.803921569,41.57142857,29.84714286,45
30.99,59.88,1591,4,4,0,1.3,1.043785786,30.19,2.016840687,1639,49,0.979591837,43.71428571,29.81857143,39
30.99,59.88,1547,5,4,0,1,1.033344448,29.89,1.996665555,1591,39,1.128205128,40.57142857,29.83285714,2
30.99,59.88,1517,6,4,0,1,1.033344448,29.89,1.996665555,1547,12,2.5,35.14285714,29.83285714,5
30.99,59.88,1500,0,4,0,1.1,1.036801606,29.99,2.003345601,1517,1,17,30.71428571,29.86142857,50
30.99,59.88,1281,1,4,0,1.2,1.040281974,30.09,2.010070493,1500,29,7.551724138,29.14285714,29.84714286,65
30.99,41.39,1240,2,4,0,5.7,1.225385528,16.1,1.636615263,1281,23,1.782608696,26.57142857,29.21857143,97
30.99,41.39,1208,3,4,0,1.1,1.036801606,11.5,1.384744062,1240,33,0.96969697,24.28571429,29.21857143,47
30.99,41.39,1195,4,4,0,1.4,1.047313282,11.8,1.398783373,1208,33,0.393939394,23.14285714,29.20428571,33
30.99,41.39,1165,5,4,0,1,1.033344448,11.4,1.380126709,1195,31,0.967741935,22.71428571,29.20428571,3
30.99,41.39,1137,6,4,0,1,1.033344448,11.4,1.380126709,1165,9,3.111111111,27,29.20428571,9
30.99,59.98,1298,0,4,0,1.8,1.061664954,30.79,2.054813292,1137,31,-5.193548387,28.42857143,29.10428571,53
30.99,59.98,1256,1,4,0,1.2,1.040281974,30.19,2.013427325,1298,39,1.076923077,29.14285714,29.10428571,84
30.99,59.98,1213,2,4,0,1.2,1.040281974,30.19,2.013427325,1256,28,1.535714286,29.85714286,29.74714286,35
30.99,59.98,1178,3,4,0,1.4,1.047313282,30.39,2.027036161,1213,38,0.921052632,29.42857143,29.70428571,42
30.99,59.98,1145,4,4,0,1.2,1.040281974,30.19,2.013427325,1178,30,1.1,29.28571429,29.73285714,35
30.99,59.98,1119,5,4,0,1,1.033344448,29.99,2,1145,30,0.866666667,28.85714286,29.73285714,1
30.99,59.98,1091,6,4,0,1,1.033344448,29.99,2,1119,6,4.666666667,25.28571429,29.73285714,3
